country,lifeExp,gdpPercap,pop,total,per_capita
Argentina,75.32,12779.37964,40301927,149476.04,3.819
Bolivia,65.554,3822.1370840000004,9119152,8975.809,0.984
Brazil,72.39,9065.800825,190010647,311623.799,1.667
Canada,80.65300000000002,36319.23501,33390141,540431.495,16.762
Chile,78.553,13171.63885,16284741,54434.634,3.343
Colombia,72.889,7006.580419,44227550,53585.3,1.238
Costa Rica,78.782,9645.06142,4133884,5463.059,1.286
Cuba,78.273,8948.102923,11416987,25051.431,2.22
Dominican Republic,72.235,6025.374752,9319622,17522.139,1.897
Ecuador,74.994,6873.262325999999,13755680,23926.725,1.742
El Salvador,71.878,5728.353514,6939688,6252.815,1.037
Guatemala,70.259,5186.050003,12572928,10621.597,0.811
Haiti,60.916,1201.637154,8502814,1980.992,0.214
Honduras,70.198,3548.330846,7483763,7192.737,0.976
Jamaica,72.567,7320.880262000001,2780132,10281.648,3.746
Mexico,76.195,11977.57496,108700891,412385.135,3.854
Nicaragua,72.899,2749.320965,5675356,4032.083,0.75
Panama,75.537,9809.185636,3242173,6776.118,2.035
Paraguay,71.752,4172.838464,6667147,3472.665,0.599
Peru,71.421,7408.905561,28674757,28632.888,1.037
Trinidad and Tobago,69.819,18008.50924,1056608,17175.823,13.243
United States,78.24851304439883,42646.38070185649,305082438,5703220.175,19.268
Uruguay,76.384,10611.46299,3447496,5151.871,1.549
Venezuela,73.747,11415.80569,26084662,137701.548,5.141
