country,pop,continent,lifeExp,gdpPercap
Afghanistan,22227415,Asia,41.763,635.341351
Albania,3428038,Europe,72.95,3193.054604
Algeria,29072015,Africa,69.152,4797.295051
Angola,9875024,Africa,40.963,2277.140884
Argentina,36203463,Americas,73.275,10967.28195
Australia,18565243,Oceania,78.83,26997.93657
Austria,8069876,Europe,77.51,29095.92066
Bahrain,598561,Asia,73.925,20292.01679
Bangladesh,123315288,Asia,59.412,972.7700352
Belgium,10199787,Europe,77.53,27561.19663
Benin,6066080,Africa,54.777,1232.975292
Bolivia,7693188,Americas,62.05,3326.143191
Bosnia and Herzegovina,3607000,Europe,73.244,4766.355904
Botswana,1536536,Africa,52.556,8647.142313
Brazil,168546719,Americas,69.388,7957.980824
Bulgaria,8066057,Europe,70.32,5970.38876
Burkina Faso,10352843,Africa,50.324,946.2949618
Burundi,6121610,Africa,45.326,463.1151478
Cambodia,11782962,Asia,56.534,734.28517
Cameroon,14195809,Africa,52.199,1694.337469
Canada,30305843,Americas,78.61,28954.92589
Central African Republic,3696513,Africa,46.066,740.5063317
Chad,7562011,Africa,51.573,1004.961353
Chile,14599929,Americas,75.816,10118.05318
China,1230075000,Asia,70.426,2289.234136
Colombia,37657830,Americas,70.313,6117.361746
Comoros,527982,Africa,60.66,1173.618235
Congo Dem. Rep.,47798986,Africa,42.587,312.188423
Congo Rep.,2800947,Africa,52.962,3484.164376
Costa Rica,3518107,Americas,77.26,6677.045314
Cote d'Ivoire,14625967,Africa,47.991,1786.265407
Croatia,4444595,Europe,73.68,9875.604515
Cuba,10983007,Americas,76.151,5431.990415
Czech Republic,10300707,Europe,74.01,16048.51424
Denmark,5283663,Europe,76.11,29804.34567
Djibouti,417908,Africa,53.157,1895.016984
Dominican Republic,7992357,Americas,69.957,3614.101285
Ecuador,11911819,Americas,72.312,7429.455877
Egypt,66134291,Africa,67.217,4173.181797
El Salvador,5783439,Americas,69.535,5154.825496
Equatorial Guinea,439971,Africa,48.245,2814.480755
Eritrea,4058319,Africa,53.378,913.47079
Ethiopia,59861301,Africa,49.402,515.8894013
Finland,5134406,Europe,77.13,23723.9502
France,58623428,Europe,78.64,25889.78487
Gabon,1126189,Africa,60.461,14722.84188
Gambia,1235767,Africa,55.861,653.7301704
Germany,82011073,Europe,77.34,27788.88416
Ghana,18418288,Africa,58.556,1005.245812
Greece,10502372,Europe,77.869,18747.69814
Guatemala,9803875,Americas,66.322,4684.313807
Guinea,8048834,Africa,51.455,869.4497668
Guinea-Bissau,1193708,Africa,44.873,796.6644681
Haiti,6913545,Americas,56.671,1341.726931
Honduras,5867957,Americas,67.659,3160.454906
Hong Kong China,6495918,Asia,80,28377.63219
Hungary,10244684,Europe,71.04,11712.7768
Iceland,271192,Europe,78.95,28061.09966
India,959000000,Asia,61.765,1458.817442
Indonesia,199278000,Asia,66.041,3119.335603
Iran,63327987,Asia,68.042,8263.590301
Iraq,20775703,Asia,58.811,3076.239795
Ireland,3667233,Europe,76.122,24521.94713
Israel,5531387,Asia,78.269,20896.60924
Italy,57479469,Europe,78.82,24675.02446
Jamaica,2531311,Americas,72.262,7121.924704
Japan,125956499,Asia,80.69,28816.58499
Jordan,4526235,Asia,69.772,3645.379572
Kenya,28263827,Africa,54.407,1360.485021
Korea Dem. Rep.,21585105,Asia,67.727,1690.756814
Korea Rep.,46173816,Asia,74.647,15993.52796
Kuwait,1765345,Asia,76.156,40300.619960000004
Lebanon,3430388,Asia,70.265,8754.96385
Lesotho,1982823,Africa,55.558,1186.147994
